Algoritmo,Tamanho,Tempo(ms),Trocas,Comparacoes
Insertion Sort,5,0,5,7
Bubble Sort,5,0,5,10
Selection Sort,5,0,3,10
Comb Sort,5,0,3,13
Shell Sort,5,0,3,9
Gnome Sort,5,0,5,12
Cocktail Sort,5,0,5,9
Quick Sort,5,0,5,6
Merge Sort,5,0,4,7
Radix Sort,5,8,25,25
Radix Sort LSD,5,0,25,25
Radix Sort MSD,5,0,10,10
Bucket Sort,5,0,5,7
Tim Sort,5,0,5,7
Insertion Sort,100,0,2425,2517
Bubble Sort,100,0,2425,4950
Selection Sort,100,0,95,4950
Comb Sort,100,0,277,1201
Shell Sort,100,0,481,932
Gnome Sort,100,0,2425,4942
Cocktail Sort,100,0,2425,3774
Quick Sort,100,0,417,578
Merge Sort,100,0,274,548
Radix Sort,100,0,500,500
Radix Sort LSD,100,0,500,500
Radix Sort MSD,100,2,316,316
Bucket Sort,100,0,100,388
Tim Sort,100,0,754,954
Insertion Sort,1000,3,249754,250745
Bubble Sort,1000,6,249754,499500
Selection Sort,1000,4,991,499500
Comb Sort,1000,1,4450,22709
Shell Sort,1000,1,7407,14902
Gnome Sort,1000,5,249754,500499
Cocktail Sort,1000,7,249754,378714
Quick Sort,1000,0,6497,11959
Merge Sort,1000,1,4332,8704
Radix Sort,1000,1,5000,5000
Radix Sort LSD,1000,1,5000,5000
Radix Sort MSD,1000,0,4220,4220
Bucket Sort,1000,1,1000,12104
Tim Sort,1000,1,10178,13591
Insertion Sort,10000,67,25253594,25263587
Bubble Sort,10000,72,25253594,49995000
Selection Sort,10000,27,9990,49995000
Comb Sort,10000,4,63341,326734
Shell Sort,10000,5,151918,266804
Gnome Sort,10000,71,25253594,50517181
Cocktail Sort,10000,94,25253594,37795670
Quick Sort,10000,1,76601,150431
Merge Sort,10000,2,59277,120399
Radix Sort,10000,3,50000,50000
Radix Sort LSD,10000,4,50000,50000
Radix Sort MSD,10000,3,49149,49149
Bucket Sort,10000,9,10000,262059
Tim Sort,10000,7,116963,172147
Comb Sort,50000,11,372470,2083404
Shell Sort,50000,6,1314291,1988803
Quick Sort,50000,4,523239,978047
Merge Sort,50000,11,354989,718115
Radix Sort,50000,9,250000,250000
Radix Sort LSD,50000,6,250000,250000
Radix Sort MSD,50000,8,249830,249830
Bucket Sort,50000,25,50000,3790471
Tim Sort,50000,8,644401,975492
Comb Sort,100000,9,753375,3966742
Shell Sort,100000,12,2843697,4291824
Quick Sort,100000,8,1095693,1975862
Merge Sort,100000,14,759772,1536390
Radix Sort,100000,13,500000,500000
Radix Sort LSD,100000,20,500000,500000
Radix Sort MSD,100000,11,500000,500000
Bucket Sort,100000,71,100000,8378796
Tim Sort,100000,12,1338364,2050677
Comb Sort,500000,43,3967486,24833420
Shell Sort,500000,70,19912935,28156289
Quick Sort,500000,48,8544298,13696593
Merge Sort,500000,123,4390146,8837069
Radix Sort,500000,28,2500000,2500000
Radix Sort LSD,500000,27,2500000,2500000
Radix Sort MSD,500000,30,2500000,2500000
Bucket Sort,500000,275,500000,87591830
Tim Sort,500000,65,7301851,11270776
